2025-10-12 21:41:55.876 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294515876
2025-10-12 21:41:55.878 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294515878
2025-10-12 21:41:55.885 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy145.findAll | Duration: 6ms | Timestamp: 1760294515885
2025-10-12 21:41:55.886 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: OrderServiceImpl.getAllOrders | Duration: 7ms | Timestamp: 1760294515886
2025-10-12 21:41:55.886 [http-nio-8084-exec-4] INFO  PERFORMANCE - PERFORMANCE | Operation: AdminController.getAllOrders | Duration: 8ms | Timestamp: 1760294515886
2025-10-12 21:41:58.505 [http-nio-8084-exec-6] INFO  PERFORMANCE - PERFORMANCE | Operation: HomeController.index | Duration: 0ms | Timestamp: 1760294518505
2025-10-12 21:41:59.212 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.cart | Duration: 0ms | Timestamp: 1760294519212
2025-10-12 21:41:59.213 [http-nio-8084-exec-7] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getRegisterPage | Duration: 1ms | Timestamp: 1760294519213
2025-10-12 21:42:02.067 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.existsByEmail | Duration: 2ms | Timestamp: 1760294522067
2025-10-12 21:42:02.157 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.save | Duration: 24ms | Timestamp: 1760294522157
2025-10-12 21:42:02.157 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientServiceImpl.addClient | Duration: 93ms | Timestamp: 1760294522157
2025-10-12 21:42:02.163 [http-nio-8084-exec-8] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.register | Duration: 99ms | Timestamp: 1760294522163
2025-10-12 21:42:02.182 [http-nio-8084-exec-9] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getLoginPage | Duration: 0ms | Timestamp: 1760294522182
2025-10-12 21:42:02.680 [http-nio-8084-exec-1] INFO  PERFORMANCE - PERFORMANCE | Operation: ClientController.getLoginPage | Duration: 0ms | Timestamp: 1760294522680
2025-10-12 21:42:03.883 [http-nio-8084-exec-2] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294523883
2025-10-12 21:42:03.956 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy139.findByEmail | Duration: 2ms | Timestamp: 1760294523956
2025-10-12 21:42:03.958 [http-nio-8084-exec-3] INFO  PERFORMANCE - PERFORMANCE | Operation: $Proxy140.findByEmail | Duration: 2ms | Timestamp: 1760294523958
